Feature,Gini,Permutation,SHAP,Mean
sttl,0.16019657254219055,0.3614832142112191,0.09100279211997986,0.20422752629112984
ct_dst_src_ltm,0.029116623103618622,0.12738943592545293,0.07446464151144028,0.07699023351350394
service,0.06819956004619598,0.051709905743377256,0.0693424642086029,0.06308397666605871
bytes_ratio,0.054626040160655975,0.021055666678467085,0.10412880033254623,0.05993683572388977
ct_srv_src,0.013020440936088562,0.08521146493281166,0.06469627469778061,0.05430939352222695
sbytes,0.05759678781032562,0.025496556111737276,0.06867991387844086,0.050591085933501256
bytes_per_pkt,0.041192710399627686,0.02247548513990074,0.07346050441265106,0.0457095666507265
dbytes,0.0398140475153923,0.06334970318420903,0.027805490419268608,0.043656413706289976
ttl_diff,0.08193451166152954,0.020489396111578264,0.02793199010193348,0.0434519659583471
smean,0.02196064218878746,0.02145153727211825,0.048329729586839676,0.03058063634924846
total_bytes,0.03337382152676582,0.009116403139344555,0.034693825989961624,0.025728016885357335
ct_dst_sport_ltm,0.0186271034181118,0.005488811364027716,0.04594314843416214,0.02335302107210055
sbytes_log,0.05323205515742302,0.0038566370401457058,0.008067053742706776,0.02171858198009183
tcprtt,0.006918117869645357,0.034379652881017964,0.022407246753573418,0.02123500583474558
proto,0.005233407486230135,0.013168049699028465,0.04156304895877838,0.019988168714678994
dmean,0.02091408334672451,0.01652575692550764,0.019580157473683357,0.019006665915305167
sloss,0.0412956140935421,0.0031443661856980967,0.009123950265347958,0.01785464351486272
ct_dst_ltm,0.007139832712709904,0.017415602144290186,0.01829219050705433,0.01428254178801814
ct_state_ttl,0.03644878789782524,0.0009729665264681158,0.0022583776153624058,0.013226710679885255
ct_src_ltm,0.004757216200232506,0.009046407591448025,0.019796252250671387,0.011199958680783972
loss_ratio,0.02044156938791275,0.004095329222226756,0.00604557991027832,0.010194159506805942
dttl,0.024570344015955925,0.0025518405128738177,0.002492915140464902,0.009871699889764883
swin,0.02845447137951851,0.0,0.0006374261574819684,0.00969729917900016
dbytes_log,0.024578310549259186,0.0008290355663001087,0.0028297610115259886,0.009412369042361762
rate,0.0046675740741193295,0.013662125467148269,0.008288969285786152,0.008872889609017916
dur,0.0032799188047647476,0.009980719121987048,0.012373071163892746,0.008544569696881514
sload,0.004413051530718803,0.006581312497390753,0.014347727410495281,0.008447363812868279
dload,0.0050812652334570885,0.006632637664083957,0.009455852210521698,0.007056585036020915
sjit,0.006930056028068066,0.005819611183694227,0.0074820383451879025,0.006743901852316732
djit,0.00485449843108654,0.004988216346569709,0.009446860291063786,0.006429858356240011
response_body_len,0.005846502725034952,0.010574825126123573,0.0026126436423510313,0.0063446571645031855
sinpkt,0.004898920655250549,0.005543840913184717,0.00786341167986393,0.006102057749433065
trans_depth,0.01337437704205513,0.000984093826747801,0.0027503608725965023,0.005702943913799811
dinpkt,0.008239620365202427,0.0,0.008386514149606228,0.005542044838269551
pkts_ratio,0.007607914507389069,0.0022945977535162457,0.006220969837158918,0.0053744940326880776
stcpb,0.003293360583484173,0.002932591728676326,0.006664282642304897,0.004296744984821799
dtcpb,0.0031456053256988525,0.003102821599248515,0.006547761615365744,0.00426539618010437
spkts,0.005295886658132076,0.0,0.006929453462362289,0.004075113373498122
rate_log,0.0074459523893892765,0.002758383239025486,0.0018316010246053338,0.004011978884340032
state,0.009051852859556675,4.2240340842464166e-05,0.0011843913234770298,0.003426161507958723
dload_log,0.004917271435260773,0.0015216166654625294,0.0020720844622701406,0.0028369908543311472
dpkts,0.004013667814433575,0.0018771424170496613,0.0019684089347720146,0.0026197397220850834
